,schyear,gradeACCT,gradeART,gradeCED,gradeCH,gradeED,gradeEM,gradeLS,gradeMTHSC,gradeMUSIC,gradePHYS,gradeTHRD,nstudentsACCT,nstudentsART,nstudentsCED,nstudentsCH,nstudentsED,nstudentsEM,nstudentsLS,nstudentsMTHSC,nstudentsMUSIC,nstudentsPHYS,nstudentsTHRD,gradeALL,nstudentsALL,fisherACCT,adjACCT,fisherART,adjART,fisherCED,adjCED,fisherCH,adjCH,fisherED,adjED,fisherEM,adjEM,fisherLS,adjLS,fisherMTHSC,adjMTHSC,fisherMUSIC,adjMUSIC,fisherPHYS,adjPHYS,fisherTHRD,adjTHRD,fisherALL,adjALL
0,1982,2.089362,3.136364,3.698603,2.293907,3.439316,2.525506,3.477865,2.427298,3.418072,2.34208,3.229592,3625,376,501,3960,3338,2115,768,9801,1119,3456,909,2.597025564902563,29968.0,1.0,2.089362,1.0,3.136364,1.0,3.698603,1.0,2.293907,1.0,3.439316,1.0,2.525506,1.0,3.477865,1.0,2.427298,1.0,3.418072,1.0,2.34208,1.0,3.229592,1.0,2.597025564902563
1,1983,2.176828,3.008929,3.720389,2.268253,3.418349,2.537291,3.55144,2.501849,3.339973,2.383794,3.132637,3468,335,633,3784,3021,2223,729,9617,1376,3276,921,2.634247312799918,29383.0,1.0215327072096678,2.223700999969807,1.0179283012585796,3.062873985577677,0.9413820829447351,3.50230754618468,1.0084683521060267,2.2874613650695514,1.023059391680579,3.4971740484919156,0.9886247227237711,2.50842861134452,1.0182854625907416,3.6163797232632633,1.012411995591132,2.5329019387576777,0.9416721028715888,3.145159398444329,1.0177825948642607,2.4261840429418555,0.9892070773529016,3.0988266911775613,1.0085105240757146,2.6566661379768886
2,1984,2.403558,3.163022,3.81958,2.305327,3.471547,2.546019,3.551683,2.572157,3.365575,2.387946,3.11368,3689,336,861,3908,3155,1910,832,9840,1208,3205,920,2.708665834817841,29864.0,1.0359819973204456,2.4900428175155356,1.0323878561245123,3.265465501454667,0.8735426627477755,3.3365660837781483,1.008691531332498,2.3253638218521537,1.0265004595747422,3.563544590935318,1.0098782390011118,2.5711691841833715,1.0016191440549242,3.557433686414426,1.0174655437696616,2.6170811206659415,0.9460530745692817,3.1840125764435103,1.0278027972103565,2.454337578387282,0.9848094449254826,3.0663814724755767,1.0133988398890366,2.744958814651469
3,1985,2.394701,3.209302,3.557983,2.135961,3.408243,2.470143,3.700913,2.437502,3.217645,2.288496,3.081525,4074,387,713,3701,3242,1828,876,9836,1305,3016,1072,2.616531960698835,30050.0,1.0288851975113247,2.463872411365567,1.0229795367279952,3.283050273180229,0.8603119997119453,3.0609754696711065,1.0061610357467985,2.1491207320747674,1.0223580295131747,3.4844445975820713,1.0223289699881501,2.5252987489134395,0.9919807448322248,3.6712344342992633,1.0131778763386037,2.469623099931099,0.9338793775775105,3.004892309865389,1.0349473169613324,2.368472795076741,0.9616415550562497,2.9633224929447097,1.0106333701321453,2.6443545134995334
4,1986,2.293759,3.232387,3.574338,2.164248,3.454809,2.550128,3.651189,2.426553,3.146375,2.37644,3.140157,4066,317,732,3509,3256,1738,883,9794,1254,2906,914,2.6202487434369575,29369.0,1.020513018419462,2.3408109206168066,1.0384317387799904,3.356613252819837,0.8505227146648757,3.0400556588898224,1.0109917486269226,2.1880368699823203,1.0208239981106026,3.526751936088493,1.0381113378023163,2.6473167896471455,0.984229483250667,3.5936078627205195,1.0105920443449776,2.4522551569814386,0.9284257056426043,2.921175429591249,1.0468822040232024,2.487852744928899,0.9658702047779809,3.03298408462501,1.011428842193132,2.6501951528324508
5,1987,2.313371,3.268018,3.596594,2.200459,3.55788,2.377671,3.736313,2.421635,3.264727,2.382669,3.243566,4195,445,827,3831,3531,1849,895,10416,1276,2999,888,2.6413020630136104,31152.0,1.0129564198719945,2.3433440059956956,1.0189366818237995,3.3299034170604496,0.8350815175045627,3.0034491753678054,1.0084386196612254,2.2190278365811205,1.0151309465979568,3.611714092281938,1.0380524201094965,2.4681471357741667,0.9799463049654679,3.661386118544442,1.0033942324168825,2.4298545920188577,0.926202494816237,3.023798292293929,1.0526685956444624,2.5081608301155955,0.9736182529198395,3.157995062150192,1.0076017498870466,2.6613805806727804
6,1988,2.332209,3.194444,3.609987,2.17372,3.553221,2.517597,3.820598,2.295262,3.330631,2.322155,3.294652,4606,477,909,3765,4492,1952,903,10922,1520,3123,935,2.6342357119390547,33604.0,1.0007795950939122,2.3340271786943783,0.9981127445503458,3.1884152681523847,0.8181476668786636,2.953502441512306,1.0070079273568764,2.188953271854189,0.9906454920068315,3.519982365754006,1.0382290630189979,2.61384237436944,0.9779103606773214,3.7362023681830525,0.9910539401946381,2.2747284488790256,0.9133860800976157,3.042151993341602,1.0519329313170287,2.4427513161224947,0.9768227446466342,3.218291009295523,0.9989148869887776,2.631377268493403
7,1989,2.324682,3.341986,3.523186,2.14739,3.651119,2.459579,3.827231,2.294009,3.267814,2.278224,3.355476,4689,508,821,4109,4983,2040,874,11104,1538,3426,1020,2.6371823264126224,35112.0,0.9905065481303442,2.302612743320745,0.9813685678111606,3.279720014464949,0.8107452243124182,2.8564062238643717,0.9995123742641498,2.146342877371093,0.9669391132487595,3.5304097682256974,1.0339390565914974,2.543054790872259,0.9786161620112916,3.7453901123506377,0.980806402487511,2.249978714563973,0.9022989799113472,2.948545238740019,1.0438704596352228,2.3781707340319955,0.9748733638689021,3.2711641755013683,0.9895969369381231,2.6097475523652847
8,1990,2.354736,3.293023,3.595454,2.220666,3.644526,2.392625,3.862539,2.336732,3.339153,2.368,3.286939,4879,569,696,4281,5529,2137,953,10970,1910,3356,1005,2.689219558274769,36285.0,0.980966267369285,2.3099165845600806,0.9603266061431458,3.16237760154132,0.8134627322894232,2.924767834660936,0.9931289412383987,2.20540767342411,0.9421904421320971,3.4338375633019234,1.026278545480225,2.455499704879623,0.9746513226089791,3.7646287449787637,0.9746140800166276,2.2774119084254143,0.8815969328557833,2.9437870431361874,1.0411580175549566,2.465462185570137,0.9730798896354664,3.1984542393585103,0.9815769860461079,2.6396760288275933
9,1991,2.352878,3.376989,3.76539,2.288982,3.616067,2.335036,3.879917,2.362864,3.358878,2.280681,3.313123,4433,532,568,4474,6234,2214,966,10712,1943,3564,1137,2.713639273758055,36777.0,0.9787201234930933,2.3028090467241826,0.9498394690142024,3.2075974386268022,0.8247438299656044,3.105482169914187,0.9872059057510194,2.2596965485577796,0.9154666162890113,3.310388620764356,1.0170709269319635,2.3748972289395045,0.9710470767548014,3.7675820609012587,0.9714504407086701,2.295405274134651,0.8653338134505422,2.90655070865513,1.0337333037126701,2.357615904844716,0.9654331664668131,3.1985988287840272,0.9750275230472979,2.645872979536185
